Group 1,Group 2,Metabolite,U_stat,raw_p_value,corrected_p_value,Significant
None,PosHigh,Trehalose [[M+K]],49.0,0.6445013398391859,0.9136324770794363,False
None,PosHigh,Xanthurenic acid [[M+H]],43.0,0.3540841827199219,0.7864451507516957,False
None,PosHigh,d-Desthiobiotin [[M+Na]],62.0,0.646728439983131,0.9136324770794363,False
None,PosHigh,gamma-Glutamylcysteine [[M+H]],75.0,0.16970614227251246,0.7253194025893683,False
None,NegHigh,2'-Deoxyguanosine-5'-Diphosphate [[M+H]],55.0,0.7666793603687381,0.9380547468041031,False
None,NegHigh,2'-Deoxyguanosine-5'-Monophosphate [[M+H]],44.0,0.3067620949424035,0.7571739248224143,False
None,NegHigh,2'-Deoxyuridine [[M+Na]],70.0,0.5310451014658126,0.8836864322117004,False
None,NegHigh,5'-Deoxy-5'-Methylthioadenosine [[M+H]],43.0,0.25981725030723846,0.7432157756691988,False
None,NegHigh,ATP [[M+H]],79.0,0.22121168816298653,0.7432157756691988,False
None,NegHigh,Acetyl coenzyme A (Acetyl-CoA) [[M+H]],94.0,0.022149607488048454,0.5315905797131629,False
None,NegHigh,Ademetionine [[M+H]],61.0,0.9736918638990016,1.0,False
None,NegHigh,Adenine [[M+H]],63.0,0.8690658904880387,0.9850633277656224,False
None,NegHigh,Adenosine 5'-diphosphate (ADP) [[M+H]],55.0,0.7666793603687381,0.9380547468041031,False
None,NegHigh,Adenosine phosphate [[M+H]],39.0,0.17646171380243192,0.7340807294181168,False
None,NegHigh,Adenosine-3'-5'-Diphosphate [[M+H]],55.0,0.7666793603687381,0.9380547468041031,False
None,NegHigh,Alpha-D-Glucose [[M+Na]],64.0,0.8164623399805062,0.9685788976194598,False
None,NegHigh,Aminoadipate [[M+Na]],58.0,0.9199403101854425,1.0,False
None,NegHigh,Argininosuccinic acid [[M+H]],36.0,0.12125097588073804,0.714822178852094,False
None,NegHigh,Biotin [[M+H]],39.0,0.17401106314288217,0.7336682662240438,False
None,NegHigh,Choline [[M+H]],66.0,0.6983659769038655,0.9147841179282452,False
None,NegHigh,Cytidine [[M+H]],45.5,0.3442322217391337,0.7782641534971719,False
None,NegHigh,D-(+)-Melibiose [[M+K]],52.0,0.5891544654500582,0.9136324770794363,False
None,NegHigh,D-(+)-Turanose [[M+Na]],44.0,0.2643675346351473,0.7432157756691988,False
None,NegHigh,D-Fructose [[M+Na]],69.5,0.5489096063556,0.8836864322117004,False
None,NegHigh,D-Galactose [[M+Na]],69.5,0.5489096063556,0.8836864322117004,False
None,NegHigh,D-Glucose [[M+Na]],65.0,0.7653895074797594,0.9380547468041031,False
None,NegHigh,Deoxyadenosine [[M+H]],51.5,0.5796200377347613,0.9136324770794363,False
None,NegHigh,Galactose [[M+Na]],69.5,0.5489096063556,0.8836864322117004,False
None,NegHigh,Glucosamine [[M+H]],26.0,0.027179886800582677,0.5653416454521196,False
None,NegHigh,Glutamic Acid [[M-H2O+H]],98.0,0.013410537144510933,0.3803715990079465,False
None,NegHigh,Glutathione [[M+H]],27.0,0.0321141793079075,0.5845901979980632,False
