,Molecule List Name,Precursor Name,Precursor Formula,Precursor Adduct,Precursor Charge,Product m/z,Product Charge,CCS
161,CCS Compendium-7,Shikimic acid,C7H10O5,[M+H]+,1.0,175.0606,1.0,148.6
164,CCS Compendium-7,6-Phosphogluconic acid,C6H13O10P,[M+Na]+,1.0,299.0144,1.0,166.1
165,CCS Compendium-7,Pyrophosphate,H4P2O7,[M+Na]+,1.0,200.933,1.0,144.7
170,CCS Compendium-8,dUMP,C9H13N2O8P,[M+Na]+,1.0,331.0292,1.0,168.1
172,CCS Compendium-7,D-Erythrose 4-phosphate,C4H9O7P,[M+Na]+,1.0,222.9984,1.0,152.9
174,CCS Compendium-8,Nicotinic acid,C6H5NO2,[M+H]+,1.0,124.0407,1.0,123.9
175,CCS Compendium-7,L-Asparagine,C4H8N2O3,[M+H]+,1.0,133.0613,1.0,130.7
177,CCS Compendium-78,L-Asparagine,C4H8N2O3,[M+Na]+,1.0,155.0421,1.0,129.3
179,CCS Compendium-8,Spermine,C10H26N4,[M+H]+,1.0,203.2231,1.0,148.6
180,CCS Compendium-8,Spermine,C10H26N4,[M+Na]+,1.0,225.2045,1.0,151.4
181,CCS Compendium-8,Spermidine,C7H19N3,[M+H]+,1.0,146.1653,1.0,131.3
182,CCS Compendium-8,Spermidine,C7H19N3,[M+Na]+,1.0,168.1472,1.0,136.2
185,CCS Compendium-8,L-Cystathionine,C7H14N2O4S,[M+H]+,1.0,223.0732,1.0,147.4
186,CCS Compendium-8,L-Cystathionine,C7H14N2O4S,[M+Na]+,1.0,245.0543,1.0,147.2
187,CCS Compendium-78,D-Ribose,C5H10O5,[M+Na]+,1.0,173.0426,1.0,135.8
189,CCS Compendium-8,3-Hydroxyanthranilic acid,C7H7NO3,[M+H]+,1.0,154.0493,1.0,131.3
192,CCS Compendium-8,Guanosine monophosphate,C10H14N5O8P,[M+H]+,1.0,364.064,1.0,179.6
193,CCS Compendium-8,Guanosine monophosphate,C10H14N5O8P,[M+Na]+,1.0,386.0452,1.0,174.3
194,CCS Compendium-7,Xanthine,C5H4N4O2,[M+Na]+,1.0,175.0232,1.0,151.7
196,CCS Compendium-78,Xanthine,C5H4N4O2,[M+H]+,1.0,153.0402,1.0,132.9
202,CCS Compendium-7,Glutamic acid,C5H9NO4,[M+Na]+,1.0,170.0429,1.0,142.4
204,CCS Compendium-8,Glutamic acid,C5H9NO4,[M+K]+,1.0,186.016,1.0,149.3
206,CCS Compendium-78,Glutamic acid,C5H9NO4,[M+H]+,1.0,148.0599,1.0,130.9
207,CCS Compendium-6,alpha-D-Glucose,C6H12O6,[M+Na]+,1.0,203.0526,1.0,147.1
208,CCS Compendium-8,alpha-D-Glucose,C6H12O6,[M+Na]+,1.0,203.0533,1.0,146.5
209,CCS Compendium-8,Niacinamide,C6H6N2O,[M+Na]+,1.0,145.0368,1.0,136.4
210,CCS Compendium-78,Niacinamide,C6H6N2O,[M+H]+,1.0,123.0557,1.0,126.7
214,CCS Compendium-8,Cytidine triphosphate,C9H16N3O14P3,[M+H]+,1.0,483.9927,1.0,188.5
215,CCS Compendium-78,Cytidine triphosphate,C9H16N3O14P3,[M+Na]+,1.0,505.974,1.0,197.2
217,CCS Compendium-8,Biotin,C10H16N2O3S,[M+K]+,1.0,283.0494,1.0,160.6
219,CCS Compendium-78,Biotin,C10H16N2O3S,[M+H]+,1.0,245.0959,1.0,151.4
220,CCS Compendium-78,Biotin,C10H16N2O3S,[M+Na]+,1.0,267.0787,1.0,161.6
223,CCS Compendium-8,Xanthylic acid,C10H13N4O9P,[M+H]+,1.0,365.0477,1.0,175.5
224,CCS Compendium-8,Xanthylic acid,C10H13N4O9P,[M+Na]+,1.0,387.0293,1.0,176.6
228,CCS Compendium-8,FAD,C27H33N9O15P2,[M+H]+,1.0,786.1609,1.0,249.2
229,CCS Compendium-8,FAD,C27H33N9O15P2,[M+Na]+,1.0,808.1427,1.0,250.5
231,CCS Compendium-6,Phenylalanine,C9H11NO2,[M+H]+,1.0,166.0863,1.0,140.8
233,CCS Compendium-78,Phenylalanine,C9H11NO2,[M+H]+,1.0,166.0868,1.0,140.1
234,CCS Compendium-78,Phenylalanine,C9H11NO2,[M+Na]+,1.0,188.0687,1.0,138.2
237,CCS Compendium-8,Uridine 5'-diphosphate,C9H14N2O12P2,[M+H]+,1.0,405.0095,1.0,176.5
238,CCS Compendium-8,Uridine 5'-diphosphate,C9H14N2O12P2,[M+Na]+,1.0,426.9909,1.0,178.1
239,CCS Compendium-8,Uridine 5'-diphosphate,C9H14N2O12P2,[M+Na]+,1.0,426.9909,1.0,181.7
241,CCS Compendium-6,Methionine,C5H11NO2S,[M+H]+,1.0,150.0583,1.0,133.6
243,CCS Compendium-78,Methionine,C5H11NO2S,[M+H]+,1.0,150.0589,1.0,132.9
244,CCS Compendium-7,Dihydroxyacetone phosphate,C3H7O6P,[M+Na]+,1.0,192.9878,1.0,143.2
247,CCS Compendium-8,Uridine triphosphate,C9H15N2O15P3,[M+H]+,1.0,484.9755,1.0,186.9
