	0	1200	2400	3600	4800	6000	7200	8400	9600	10800	12000	13200	14400	15600	16800	18000	19200	20400	21600	22800	24000
F04	0.13876666666666665	0.13526666666666665	0.1552333333333333	0.1953	0.2144333333333333	0.29289999999999994	0.4456666666666667	0.8264	1.1532666666666667	1.1124666666666667	0.5133666666666666	0.39736666666666676	0.40713333333333335	0.4242666666666667	0.4457	0.5088333333333334	0.5521333333333334	0.6191666666666666	0.6718	0.7351	0.7945666666666666
F05	0.15863333333333332	0.17960000000000004	0.21100000000000002	0.21873333333333336	0.2601	0.33166666666666667	0.5994666666666666	1.0598666666666665	1.1325333333333334	0.7505999999999999	0.4081666666666667	0.3943	0.4215	0.46673333333333333	0.47453333333333336	0.5300333333333334	0.5830333333333333	0.6327333333333334	0.6840999999999999	0.7537333333333334	0.8063666666666667
F06	0.15063333333333334	0.1617	0.17660000000000003	0.21333333333333335	0.24400000000000002	0.3088666666666666	0.5304666666666666	1.0315666666666665	1.0864333333333334	0.7062999999999999	0.39436666666666664	0.3898999999999999	0.41899999999999993	0.4588333333333333	0.48973333333333335	0.5550333333333334	0.6038333333333333	0.6551333333333333	0.717	0.7525333333333333	0.8277666666666667
F07	0.000633333333333333	0.008800000000000016	0.01230000000000002	0.015833333333333338	0.017100000000000004	0.01846666666666666	0.019266666666666654	0.01836666666666667	0.017833333333333312	0.0189	0.01946666666666666	0.01739999999999997	0.019199999999999995	0.018633333333333335	0.021133333333333337	0.019233333333333325	0.01783333333333334	0.021933333333333332	0.017499999999999988	0.020633333333333337	0.018866666666666643
F08	0.15023333333333333	0.1512	0.18110000000000004	0.21253333333333332	0.23629999999999998	0.29756666666666665	0.6531666666666667	1.1011666666666666	1.1155333333333333	0.5496000000000001	0.37416666666666665	0.38469999999999993	0.4110999999999999	0.44023333333333325	0.45163333333333333	0.5127333333333334	0.5695333333333333	0.6097333333333333	0.6527999999999999	0.7054333333333334	0.7860666666666667
F09	0.15483333333333332	0.1699	0.1875	0.21263333333333337	0.25949999999999995	0.3462666666666666	0.8446666666666667	1.0275666666666665	0.6917333333333333	0.4038	0.37026666666666663	0.38169999999999993	0.41769999999999996	0.45853333333333335	0.4884333333333333	0.5277333333333334	0.5794333333333334	0.6522333333333333	0.6740999999999999	0.7383333333333333	0.8045666666666667
F10	0.13493333333333335	0.14886666666666667	0.17763333333333334	0.20749999999999996	0.2622666666666667	0.3179666666666666	0.7516666666666667	1.0648666666666666	0.9049666666666667	0.42510000000000003	0.3813333333333333	0.3733666666666667	0.39149999999999996	0.4365	0.4760333333333333	0.5124333333333333	0.5670666666666667	0.6089333333333334	0.6852333333333334	0.7156333333333333	0.7723333333333333
F11	0.12813333333333338	0.12696666666666664	0.14283333333333334	0.17209999999999998	0.2254666666666667	0.32886666666666664	0.7855666666666667	0.9276666666666666	0.5916666666666666	0.3779	0.3560333333333333	0.3618666666666666	0.37429999999999997	0.4062	0.48873333333333324	0.5074333333333333	0.5536666666666666	0.5856333333333333	0.6475333333333334	0.7140333333333333	0.7785333333333333
F12	0.013033333333333355	-0.003133333333333349	0.00633333333333333	-0.0032000000000000084	-0.013533333333333314	-0.010233333333333344	-0.004533333333333334	-0.007133333333333353	-0.010133333333333328	-0.004399999999999987	-0.005066666666666636	-0.013933333333333353	-0.01630000000000001	-0.01730000000000001	-0.010666666666666685	-0.01366666666666666	-0.013033333333333341	-0.009666666666666629	-0.015266666666666678	-0.011166666666666686	-0.013766666666666677
G01	0.017299999999999996	0.011733333333333346	0.03989999999999999	0.026833333333333348	0.008500000000000008	0.016733333333333322	0.021066666666666678	0.012333333333333335	0.01206666666666667	0.009666666666666657	0.00793333333333332	0.008800000000000002	0.00743333333333332	0.006966666666666649	0.008899999999999991	0.0051666666666666805	0.0053666666666666585	0.008733333333333315	0.010233333333333344	0.00993333333333335	0.00786666666666666
